"계정항목별",2022.3/4,2022.4/4
"농림어업",7933.8,10191.9
"재배업",4778.8,6343.5
"축산업",1897.4,2306.3
"임업",695.2,800.9
"어업",565.3,712.4
"광업",495.2,428.6
"제조업",132831.7,133370.6
"음식료품 제조업",5813.3,6031.8
"섬유 및 가죽제품 제조업",2842.9,2858.6
"목재, 종이, 인쇄 및 복제업",3213.6,3596.0
"코크스 및 석유정제품 제조업",3323.9,3021.8
"화학물질 및 화학제품 제조업",19083.1,17716.6
"비금속광물제품 제조업",3471.2,3526.7
"1차금속 제조업",6477.3,6052.7
"금속가공제품 제조업",7036.2,9549.5
"컴퓨터, 전자 및 광학기기 제조업",47246.1,44791.4
"전기장비 제조업",7806.0,7928.2
"기계 및 장비 제조업",13220.0,12916.5
"운송장비 제조업",13034.9,14324.2
"기타 제조업 및 산업용 장비 수리업",2070.0,2472.3
"전기, 가스 및 수도사업",10999.3,11941.4
"전기업",8757.2,6631.8
"가스, 증기 및 공기조절 공급업",1384.9,2489.1
"수도, 하수 및 폐기물 처리, 원료 재생업",1874.4,2436.3
"건설업",21472.6,25140.6
"건물건설업",15509.2,16934.5
"주거용 건물건설업",7957.4,8608.8
"비주거용 건물건설업",7552.7,8327.4
"토목건설업",2450.0,3791.6
"전문건설업",3533.8,4413.4
"서비스업",279246.6,290902.8
"도소매 및 숙박음식업",46198.9,50154.3
"도소매업",35360.3,39316.9
"숙박 및 음식점업",10821.6,10927.8
"운수업",15469.1,16400.2
"금융 및 보험업",30415.8,30280.8
"부동산업",35124.5,34420.6
"정보통신업",23279.6,25921.3
"통신업",6205.8,6283.8
"출판, 방송, 영상, 정보서비스",17074.8,19394.6
"사업서비스업",41373.1,45990.1
"전문, 과학 및 기술관련 서비스업",26831.1,29131.4
"사업지원 서비스업",14517.2,16904.8
"공공행정, 국방 및 사회보장",28304.1,29410.0
"교육서비스업",23487.6,22744.8
"의료, 보건업 및 사회복지서비스업",23743.0,24988.1
"문화 및 기타 서비스업",11785.9,10314.8
"예술, 스포츠 및 여가관련 서비스업",6317.9,4841.4
"기타 서비스업",5544.5,5465.4
"총부가가치(기초가격)",452772.2,472414.8
"순생산물세",40322.0,40003.8
"국내총생산(시장가격, GDP)",493061.6,512232.5
"교역조건 변화를 반영한 실질무역손익",-36024.5,-34627.9
"국내총소득(GDI)",457037.1,477604.6
"국외순수취요소소득",7397.2,10017.7
"국민총소득(GNI)",464457.2,487652.6
